Année,ID_station,Jours>=30°C,Station
1996,07005,1.0,Abbeville
1996,07015,2.0,Lille-Lesquin
1996,07020,0.0,Cap de La Hague
1996,07027,4.0,Caen-Carpiquet
1996,07037,4.0,Rouen-Boos
1996,07110,0.0,Brest-Guipavas
1996,07130,3.0,Rennes-St Jacques
1996,07139,2.0,Alençon - Valframbert
1996,07149,6.0,Orly - Athis-Mons
1996,07190,5.0,Strasbourg-Entzheim
1996,07207,0.0,Belle Ile-Le Talut
1996,07222,7.0,Nantes-Atlantique
1996,07240,9.0,Tours - Parcay-Meslay
1996,07255,8.0,Bourges
1996,07280,5.0,Dijon-Longvic
1996,07299,7.0,Bâle-Mulhouse
1996,07314,1.0,Pointe de Chassiron
1996,07335,8.0,Poitiers-Biard
1996,07434,1.0,Limoges-Bellegarde
1996,07460,8.0,Clermont-Ferrand - Aulnat
1996,07471,1.0,Le Puy-Loudes
1996,07481,7.0,Lyon-St Exupéry
1996,07510,24.0,Bordeaux-Mérignac
1996,07535,30.0,Gourdon
1996,07577,21.0,Montélimar - Ancone
1996,07591,1.0,Embrun
1996,07607,25.0,Mont-de-Marsan
1996,07621,8.0,Tarbes - Ossun - Lourdes
1996,07627,3.0,Saint-Girons - Antichan
1996,07630,28.0,Toulouse-Blagnac
1996,07643,28.0,Montpellier - Fréjorgues
1996,07650,28.0,Marseille-Marignane (Marseille Provence)
1996,07661,3.0,Saint-Mandrier-sur-Mer - Cap Cépet
1996,07690,1.0,Nice - Côte d'Azur
1996,07747,24.0,Perpignan - Rivesaltes
1996,07761,7.0,Ajaccio - Campo dell'Oro
1996,07790,16.0,Bastia - Poretta
1997,07005,3.0,Abbeville
1997,07015,7.0,Lille-Lesquin
1997,07020,0.0,Cap de La Hague
1997,07027,4.0,Caen-Carpiquet
1997,07037,3.0,Rouen-Boos
1997,07110,0.0,Brest-Guipavas
1997,07117,0.0,Ploumanac'h - Perros
1997,07130,10.0,Rennes-St Jacques
1997,07139,8.0,Alençon - Valframbert
1997,07149,17.0,Orly - Athis-Mons
1997,07190,11.0,Strasbourg-Entzheim
1997,07207,1.0,Belle Ile-Le Talut
1997,07222,12.0,Nantes-Atlantique
1997,07240,9.0,Tours - Parcay-Meslay
1997,07255,15.0,Bourges
1997,07280,10.0,Dijon-Longvic
1997,07299,11.0,Bâle-Mulhouse
1997,07314,3.0,Pointe de Chassiron
1997,07335,15.0,Poitiers-Biard
1997,07434,8.0,Limoges-Bellegarde
1997,07460,19.0,Clermont-Ferrand - Aulnat
1997,07471,4.0,Le Puy-Loudes
1997,07481,22.0,Lyon-St Exupéry
1997,07510,24.0,Bordeaux-Mérignac
1997,07535,24.0,Gourdon
1997,07577,33.0,Montélimar - Ancone
1997,07591,3.0,Embrun
1997,07607,19.0,Mont-de-Marsan
1997,07621,8.0,Tarbes - Ossun - Lourdes
1997,07627,9.0,Saint-Girons - Antichan
1997,07630,25.0,Toulouse-Blagnac
1997,07643,25.0,Montpellier - Fréjorgues
1997,07650,37.0,Marseille-Marignane (Marseille Provence)
1997,07661,5.0,Saint-Mandrier-sur-Mer - Cap Cépet
1997,07690,0.0,Nice - Côte d'Azur
1997,07747,28.0,Perpignan - Rivesaltes
1997,07761,11.0,Ajaccio - Campo dell'Oro
1997,07790,16.0,Bastia - Poretta
1998,07005,1.0,Abbeville
1998,07015,7.0,Lille-Lesquin
1998,07020,0.0,Cap de La Hague
1998,07027,2.0,Caen-Carpiquet
1998,07037,7.0,Rouen-Boos
1998,07110,1.0,Brest-Guipavas
1998,07117,2.0,Ploumanac'h - Perros
1998,07130,5.0,Rennes-St Jacques
1998,07139,6.0,Alençon - Valframbert
1998,07149,8.0,Orly - Athis-Mons
1998,07190,17.0,Strasbourg-Entzheim
1998,07207,0.0,Belle Ile-Le Talut
1998,07222,8.0,Nantes-Atlantique
1998,07240,11.0,Tours - Parcay-Meslay
1998,07255,13.0,Bourges
1998,07280,13.0,Dijon-Longvic
1998,07299,17.0,Bâle-Mulhouse
1998,07314,2.0,Pointe de Chassiron
1998,07335,12.0,Poitiers-Biard
1998,07434,8.0,Limoges-Bellegarde
1998,07460,16.0,Clermont-Ferrand - Aulnat
1998,07471,10.0,Le Puy-Loudes
1998,07481,20.0,Lyon-St Exupéry
1998,07510,22.0,Bordeaux-Mérignac
1998,07535,34.0,Gourdon
1998,07577,39.0,Montélimar - Ancone
1998,07591,25.0,Embrun
1998,07607,20.0,Mont-de-Marsan
1998,07621,12.0,Tarbes - Ossun - Lourdes
1998,07627,13.0,Saint-Girons - Antichan
1998,07630,22.0,Toulouse-Blagnac
1998,07643,37.0,Montpellier - Fréjorgues
1998,07650,48.0,Marseille-Marignane (Marseille Provence)
1998,07661,13.0,Saint-Mandrier-sur-Mer - Cap Cépet
1998,07690,5.0,Nice - Côte d'Azur
1998,07747,31.0,Perpignan - Rivesaltes
1998,07761,11.0,Ajaccio - Campo dell'Oro
1998,07790,20.0,Bastia - Poretta
1999,07005,5.0,Abbeville
1999,07015,6.0,Lille-Lesquin
1999,07020,0.0,Cap de La Hague
1999,07027,3.0,Caen-Carpiquet
1999,07037,4.0,Rouen-Boos
1999,07110,0.0,Brest-Guipavas
1999,07117,0.0,Ploumanac'h - Perros
1999,07130,10.0,Rennes-St Jacques
1999,07139,9.0,Alençon - Valframbert
1999,07149,9.0,Orly - Athis-Mons
1999,07190,11.0,Strasbourg-Entzheim
1999,07207,1.0,Belle Ile-Le Talut
1999,07222,8.0,Nantes-Atlantique
1999,07240,12.0,Tours - Parcay-Meslay
1999,07255,9.0,Bourges
1999,07280,9.0,Dijon-Longvic
1999,07299,9.0,Bâle-Mulhouse
1999,07314,2.0,Pointe de Chassiron
1999,07335,8.0,Poitiers-Biard
1999,07434,4.0,Limoges-Bellegarde
1999,07460,16.0,Clermont-Ferrand - Aulnat
1999,07471,3.0,Le Puy-Loudes
1999,07481,21.0,Lyon-St Exupéry
1999,07510,19.0,Bordeaux-Mérignac
1999,07535,22.0,Gourdon
1999,07577,38.0,Montélimar - Ancone
1999,07591,8.0,Embrun
1999,07607,19.0,Mont-de-Marsan
1999,07621,10.0,Tarbes - Ossun - Lourdes
1999,07627,6.0,Saint-Girons - Antichan
1999,07630,31.0,Toulouse-Blagnac
1999,07643,20.0,Montpellier - Fréjorgues
1999,07650,50.0,Marseille-Marignane (Marseille Provence)
1999,07661,9.0,Saint-Mandrier-sur-Mer - Cap Cépet
1999,07690,4.0,Nice - Côte d'Azur
1999,07747,24.0,Perpignan - Rivesaltes
1999,07761,18.0,Ajaccio - Campo dell'Oro
1999,07790,20.0,Bastia - Poretta
2000,07005,1.0,Abbeville
2000,07015,3.0,Lille-Lesquin
2000,07020,0.0,Cap de La Hague
2000,07027,5.0,Caen-Carpiquet
2000,07037,2.0,Rouen-Boos
2000,07110,0.0,Brest-Guipavas
2000,07117,1.0,Ploumanac'h - Perros
2000,07130,5.0,Rennes-St Jacques
2000,07139,4.0,Alençon - Valframbert
2000,07149,7.0,Orly - Athis-Mons
2000,07190,10.0,Strasbourg-Entzheim
2000,07207,0.0,Belle Ile-Le Talut
2000,07222,9.0,Nantes-Atlantique
2000,07240,8.0,Tours - Parcay-Meslay
2000,07255,11.0,Bourges
2000,07280,15.0,Dijon-Longvic
2000,07299,16.0,Bâle-Mulhouse
2000,07314,2.0,Pointe de Chassiron
2000,07335,10.0,Poitiers-Biard
2000,07434,4.0,Limoges-Bellegarde
2000,07460,21.0,Clermont-Ferrand - Aulnat
2000,07471,7.0,Le Puy-Loudes
2000,07481,25.0,Lyon-St Exupéry
2000,07510,21.0,Bordeaux-Mérignac
2000,07535,30.0,Gourdon
2000,07577,32.0,Montélimar - Ancone
2000,07591,14.0,Embrun
2000,07607,27.0,Mont-de-Marsan
2000,07621,9.0,Tarbes - Ossun - Lourdes
2000,07627,7.0,Saint-Girons - Antichan
2000,07630,26.0,Toulouse-Blagnac
2000,07643,20.0,Montpellier - Fréjorgues
2000,07650,32.0,Marseille-Marignane (Marseille Provence)
2000,07661,4.0,Saint-Mandrier-sur-Mer - Cap Cépet
2000,07690,3.0,Nice - Côte d'Azur
2000,07747,12.0,Perpignan - Rivesaltes
2000,07761,20.0,Ajaccio - Campo dell'Oro
2000,07790,18.0,Bastia - Poretta
2001,07005,5.0,Abbeville
