Année,ID_station,Jours>30°C,Station
1996,7005,1,ABBEVILLE
1996,7015,1,LILLE-LESQUIN
1996,7020,0,PTE DE LA HAGUE
1996,7027,2,CAEN-CARPIQUET
1996,7037,0,ROUEN-BOOS
1996,7110,0,BREST-GUIPAVAS
1996,7117,0,PLOUMANAC'H
1996,7130,8,RENNES-ST JACQUES
1996,7139,4,ALENCON
1996,7149,4,ORLY
1996,7168,5,TROYES-BARBEREY
1996,7181,1,NANCY-OCHEY
1996,7190,3,STRASBOURG-ENTZHEIM
1996,7207,0,BELLE ILE-LE TALUT
1996,7222,7,NANTES-BOUGUENAIS
1996,7240,4,TOURS
1996,7255,5,BOURGES
1996,7280,1,DIJON-LONGVIC
1996,7299,5,BALE-MULHOUSE
1996,7314,0,PTE DE CHASSIRON
1996,7335,6,POITIERS-BIARD
1996,7434,1,LIMOGES-BELLEGARDE
1996,7460,6,CLERMONT-FD
1996,7471,0,LE PUY-LOUDES
1996,7481,4,LYON-ST EXUPERY
1996,7510,20,BORDEAUX-MERIGNAC
1996,7535,22,GOURDON
1996,7558,0,MILLAU
1996,7577,12,MONTELIMAR
1996,7591,1,EMBRUN
1996,7607,20,MONT-DE-MARSAN
1996,7621,5,TARBES-OSSUN
1996,7627,2,ST GIRONS
1996,7630,19,TOULOUSE-BLAGNAC
1996,7643,19,MONTPELLIER
1996,7650,17,MARIGNANE
1996,7690,0,NICE
1996,7747,13,PERPIGNAN
1996,7761,3,AJACCIO
1996,7790,6,BASTIA
1997,7005,2,ABBEVILLE
1997,7015,6,LILLE-LESQUIN
1997,7020,0,PTE DE LA HAGUE
1997,7027,2,CAEN-CARPIQUET
1997,7037,2,ROUEN-BOOS
1997,7110,0,BREST-GUIPAVAS
1997,7117,0,PLOUMANAC'H
1997,7130,5,RENNES-ST JACQUES
1997,7139,4,ALENCON
1997,7149,15,ORLY
1997,7168,12,TROYES-BARBEREY
1997,7181,2,NANCY-OCHEY
1997,7190,7,STRASBOURG-ENTZHEIM
1997,7207,1,BELLE ILE-LE TALUT
1997,7222,5,NANTES-BOUGUENAIS
1997,7240,6,TOURS
1997,7255,9,BOURGES
1997,7280,8,DIJON-LONGVIC
1997,7299,5,BALE-MULHOUSE
1997,7314,0,PTE DE CHASSIRON
1997,7335,13,POITIERS-BIARD
1997,7434,6,LIMOGES-BELLEGARDE
1997,7460,17,CLERMONT-FD
1997,7471,2,LE PUY-LOUDES
1997,7481,16,LYON-ST EXUPERY
1997,7510,19,BORDEAUX-MERIGNAC
1997,7535,17,GOURDON
1997,7558,3,MILLAU
1997,7577,25,MONTELIMAR
1997,7591,3,EMBRUN
1997,7607,13,MONT-DE-MARSAN
1997,7621,3,TARBES-OSSUN
1997,7627,6,ST GIRONS
1997,7630,13,TOULOUSE-BLAGNAC
1997,7643,14,MONTPELLIER
1997,7650,23,MARIGNANE
1997,7690,0,NICE
1997,7747,23,PERPIGNAN
